simulation,analysis,data,node,trial,scenario,heuristic,type,time,simulator-normalization
1,4,4,128,1,increasing0.75,even-even,Model(B1),9.361652987550556,23.20416066360063748875
1,4,4,128,1,increasing0.75,even-even,Model(B2),88.54544420661331,2.45330860267766898485
1,4,4,128,1,increasing0.75,even-even,Model(B3),253.1630266447388,.85806092176657278134
1,4,4,128,1,decreasing0.25,model-model,Simulator,72.8384,1.0
1,4,4,128,1,decreasing0.25,model-model,Model(B),5.529896834244661,13.17174663167999840796
1,4,4,128,1,decreasing0.25,model-model,Model(B1),9.361652987550556,7.78050629486726087899
1,4,4,128,1,decreasing0.25,model-model,Model(B2),88.54544420661331,.82261036299098291338
1,4,4,128,1,decreasing0.25,model-model,Model(B3),253.1630266447388,.28771341915663464770
1,4,4,128,1,decreasing0.25,model-even,Simulator,72.8298,1.0
1,4,4,128,1,decreasing0.25,model-even,Model(B),5.89397974647635,12.35664239320477525712
1,4,4,128,1,decreasing0.25,model-even,Model(B1),9.361652987550556,7.77958765368162447781
1,4,4,128,1,decreasing0.25,model-even,Model(B2),88.54544420661331,.82251323772296875528
1,4,4,128,1,decreasing0.25,model-even,Model(B3),253.1630266447388,.28767944895129313748
1,4,4,128,1,decreasing0.25,even-model,Simulator,72.8515,1.0
1,4,4,128,1,decreasing0.25,even-model,Model(B),7.862822061191626,9.26531205120000048197
1,4,4,128,1,decreasing0.25,even-model,Model(B1),9.361652987550556,7.78190562039421865287
1,4,4,128,1,decreasing0.25,even-model,Model(B2),88.54544420661331,.82275830962016727048
1,4,4,128,1,decreasing0.25,even-model,Model(B3),253.1630266447388,.28776516446942229699
1,4,4,128,1,decreasing0.25,even-even,Simulator,72.8392,1.0
1,4,4,128,1,decreasing0.25,even-even,Model(B),8.38050245202106,8.69150751008180205611
1,4,4,128,1,decreasing0.25,even-even,Model(B1),9.361652987550556,7.78059174986127356747
1,4,4,128,1,decreasing0.25,even-even,Model(B2),88.54544420661331,.82261939789963539320
1,4,4,128,1,decreasing0.25,even-even,Model(B3),253.1630266447388,.28771657917573618353
1,4,4,128,1,decreasing0.5,model-model,Simulator,145.0507,1.0
1,4,4,128,1,decreasing0.5,model-model,Model(B),5.563864259516434,26.07013637183999732674
1,4,4,128,1,decreasing0.5,model-model,Model(B1),9.247390237929729,15.68558223108722250821
1,4,4,128,1,decreasing0.5,model-model,Model(B2),88.43118145699248,1.64026644912059432470
1,4,4,128,1,decreasing0.5,model-model,Model(B3),253.04876389511796,.57321244240544755362
1,4,4,128,1,decreasing0.5,model-even,Simulator,145.0344,1.0
1,4,4,128,1,decreasing0.5,model-even,Model(B),5.936863261022767,24.42946613781607430968
1,4,4,128,1,decreasing0.5,model-even,Model(B1),9.247390237929729,15.68381957161459175408
1,4,4,128,1,decreasing0.5,model-even,Model(B2),88.43118145699248,1.64008212499723148890
1,4,4,128,1,decreasing0.5,model-even,Model(B3),253.04876389511796,.57314802794339250118
1,4,4,128,1,decreasing0.5,even-model,Simulator,145.0542,1.0
1,4,4,128,1,decreasing0.5,even-model,Model(B),5.737735017626322,25.28074223615999988609
1,4,4,128,1,decreasing0.5,even-model,Model(B1),9.247390237929729,15.68596071625005733271
1,4,4,128,1,decreasing0.5,even-model,Model(B2),88.43118145699248,1.64030602792008941214
1,4,4,128,1,decreasing0.5,even-model,Model(B3),253.04876389511796,.57322627373165569372
