simulation,analysis,data,node,scenario,heuristic,time,model,model-bw,ideal-normalization,model-normalization
1,4,4,64,decreasing0.5,model-model,146.9700,80.9346151221633,217.2953496807653,15.95470977126914684585,1.00000000000000000000
1,4,4,64,decreasing0.5,model-even,147.3728,81.22288784433306,217.2953496807653,11.92355863363484846033,1.00274069538000952575
1,4,4,64,decreasing0.5,even-model,145.3004,151.75240335405616,217.2953496807653,15.77346201026954850896,.98863985847451860923
1,4,4,64,decreasing0.5,even-even,145.3380,152.29291470812447,217.2953496807653,11.75892813799576044919,.98889569299857113696
1,4,4,64,decreasing0.75,model-model,221.9534,149.69876119848433,215.02195346449943,24.09472735759957445422,1.00000000000000000000
1,4,4,64,decreasing0.75,model-even,222.1472,151.14193855134016,215.02195346449943,17.97336526481011019595,1.00087315625712424319
1,4,4,64,decreasing0.75,even-model,217.5249,290.0413498220634,290.0413498220634,23.61398004711399633075,.98004761359816970589
1,4,4,64,decreasing0.75,even-even,217.4848,292.8375059432216,292.8375059432216,17.59614233240020065049,.97986694504341902399
1,4,4,64,ideal,model-model,9.6262,9.36689028532609,9.36689028532609,1.00000000000000000000,1.00000000000000000000
1,4,4,64,ideal,model-even,11.2183,11.006153192934782,11.006153192934782,1.00000000000000000000,1.16539236666597411231
1,4,4,64,ideal,even-model,9.6262,9.36689028532609,9.36689028532609,1.00000000000000000000,1.00000000000000000000
1,4,4,64,ideal,even-even,11.2183,11.006153192934782,11.006153192934782,1.00000000000000000000,1.16539236666597411231
1,4,4,64,transit,model-model,306.6059,229.12510695042224,229.12510695042224,31.85118738442999314371,1.00000000000000000000
1,4,4,64,transit,model-even,306.1213,230.1067208767731,230.1067208767731,27.28767282030254138327,.99841946942312590853
1,4,4,64,transit,even-model,289.6760,451.09005430864374,451.09005430864374,30.09245600548503043776,.94478286295208278770
1,4,4,64,transit,even-even,289.7871,453.022606726147,453.022606726147,25.83164115775117442036,.94514521736209251028
1,4,4,64,increasing0.25,model-model,73.0868,20.48522849431792,20.48522849431792,7.59248717043069954914,1.00000000000000000000
1,4,4,64,increasing0.25,model-even,73.0615,22.92948581861413,22.92948581861413,6.51270691637770428674,.99965383626044648281
1,4,4,64,increasing0.25,even-model,72.9916,25.606535617897404,25.606535617897404,7.58259749433836820344,.99869743920926897880
1,4,4,64,increasing0.25,even-even,72.9726,25.606535617897404,25.606535617897404,6.50478236452938502268,.99843747434557266154
1,4,4,64,increasing0.5,model-model,146.2201,55.4569653948536,55.4569653948536,15.18980490744011136273,1.00000000000000000000
1,4,4,64,increasing0.5,model-even,146.1175,58.50446879965333,58.50446879965333,13.02492356239358904646,.99929831808349194125
1,4,4,64,increasing0.5,even-model,145.2794,98.73538380414702,98.73538380414702,15.09208202613700110116,.99356654796433595654
1,4,4,64,increasing0.5,even-even,145.2183,98.84307181982133,98.84307181982133,12.94476881523938564666,.99314868475674684944
1,4,4,64,increasing0.75,model-model,222.9840,125.26233370562106,125.26233370562106,23.16428081693710913963,1.00000000000000000000
1,4,4,64,increasing0.75,model-even,222.8784,137.57691491168478,137.57691491168478,19.86739523813768574561,.99952642342051447637
1,4,4,64,increasing0.75,even-model,217.5031,242.69577155464077,242.69577155464077,22.59490764787766719993,.97542020952175940874
1,4,4,64,increasing0.75,even-even,217.4670,244.7071630669348,244.7071630669348,19.38502268614674237629,.97525831449790119470
1,4,4,64,decreasing0.25,model-model,73.2093,25.26548184241213,244.7071630669348,7.60521285657892003074,1.00000000000000000000
1,4,4,64,decreasing0.25,model-even,73.2017,30.152202219202902,244.7071630669348,6.52520435360081295739,.99989618805261080217
1,4,4,64,decreasing0.25,even-model,73.0175,35.89388135647829,244.7071630669348,7.58528806798113481955,.99738011427509892868
1,4,4,64,decreasing0.25,even-even,73.0132,35.89388135647829,244.7071630669348,6.50840145120027098579,.99732137856802346150
1,4,4,64,decreasing0.5,model-model,146.6792,72.74539734356925,241.67003591829982,15.23749766262907481664,1.00000000000000000000
1,4,4,64,decreasing0.5,model-even,146.7673,72.73652535019056,241.67003591829982,13.08284677714092153000,1.00060063049157617439
1,4,4,64,decreasing0.5,even-model,145.2859,134.12432635220583,241.67003591829982,15.09275726662649851447,.99050103900212163687
1,4,4,64,decreasing0.5,even-even,145.2598,134.10796861441386,241.67003591829982,12.94846812796947844147,.99032309966239248646
1,4,4,64,decreasing0.75,model-model,222.2364,139.8964949814752,241.4326214856568,23.08661777232968357191,1.00000000000000000000
1,4,4,64,decreasing0.75,model-even,222.1853,140.56946298148392,241.4326214856568,19.80561225854184680388,.99977006466987406203
1,4,4,64,decreasing0.75,even-model,217.4966,271.0494590266082,271.0494590266082,22.59423240738816978662,.97867226070976671688
1,4,4,64,decreasing0.75,even-even,217.4921,272.353334526625,272.353334526625,19.38726010179795512689,.97865201200163429573
16,4,4,64,ideal,model-model,169.1989,165.7390549516908,165.7390549516908,1.00000000000000000000,1.00000000000000000000
16,4,4,64,ideal,model-even,254.0663,250.29797240802677,250.29797240802677,1.00000000000000000000,1.50158363913713387025
16,4,4,64,ideal,even-model,172.9278,169.83695652173913,169.83695652173913,1.00000000000000000000,1.02203855935233621495
16,4,4,64,ideal,even-even,198.3311,195.2104891304348,195.2104891304348,1.00000000000000000000,1.17217724228703614503
16,4,4,64,transit,model-model,4623.9189,4776.138389529088,4776.138389529088,27.32830355280087518299,1.00000000000000000000
16,4,4,64,transit,model-even,4623.0781,4712.321700217494,4712.321700217494,18.19634520595608311688,.99981816290073772703
16,4,4,64,transit,even-model,4630.1460,14328.415168587264,14328.415168587264,26.77502402736864749334,1.00134671479640354418
16,4,4,64,transit,even-even,4627.6554,14136.965100652484,14136.965100652484,23.33297904362956692117,1.00080808078186665427
16,4,4,64,increasing0.25,model-model,1157.2730,438.288920056101,438.288920056101,6.83971940715926640185,1.00000000000000000000
16,4,4,64,increasing0.25,model-even,1157.1961,518.8840862771739,518.8840862771739,4.55470127285673070375,.99993355068337375882
16,4,4,64,increasing0.25,even-model,1156.2252,616.3102566513985,616.3102566513985,6.68617307338669664449,.99909459565720447984
16,4,4,64,increasing0.25,even-even,1156.1589,614.7868555450322,614.7868555450322,5.82943824745589572185,.99903730580424843576
16,4,4,64,increasing0.5,model-model,2311.3671,904.4519214103426,904.4519214103426,13.66065086711556635415,1.00000000000000000000
16,4,4,64,increasing0.5,model-even,2311.3573,906.2302841820816,906.2302841820816,9.09745723852396008443,.99999576008501635244
16,4,4,64,increasing0.5,even-model,2311.7196,2713.355764231028,2713.355764231028,13.36812010561633236529,1.00015250714609548608
16,4,4,64,increasing0.5,even-even,2311.6901,2718.6908525462454,2718.6908525462454,11.65571158532373389750,1.00013974413670593476
16,4,4,64,increasing0.75,model-model,,2491.886255632125,2491.886255632125,,
16,4,4,64,increasing0.75,model-even,,2481.725397881653,2481.725397881653,,
16,4,4,64,increasing0.75,even-model,3471.1418,7164.17298494236,7164.17298494236,20.07278066337511955856,
16,4,4,64,increasing0.75,even-even,3471.1599,7134.96051890975,7134.96051890975,17.50184363420562887010,
16,4,4,64,decreasing0.25,model-model,1157.6897,530.0730498721229,7134.96051890975,6.84218218912770709502,1.00000000000000000000
16,4,4,64,decreasing0.25,model-even,1157.5365,608.9428260869566,7134.96051890975,4.55604108061557160473,.99986766747600846755
16,4,4,64,decreasing0.25,even-model,1157.7888,1323.0147308810913,7134.96051890975,6.69521499724162338270,1.00008560152172037118
16,4,4,64,decreasing0.25,even-even,1158.0633,1320.3669242040728,7134.96051890975,5.83904037238738654704,1.00032271169036055170
16,4,4,64,decreasing0.5,model-model,2311.7990,1521.033222931496,7041.074479507577,13.66320348418340781175,1.00000000000000000000
16,4,4,64,decreasing0.5,model-even,2311.7538,1516.5058036984042,7041.074479507577,9.09901785478829738536,.99998044812719444899
16,4,4,64,decreasing0.5,even-model,2314.5308,4563.099668794489,7041.074479507577,13.38437660110173147406,1.00118167712677442978
16,4,4,64,decreasing0.5,even-even,2314.1313,4549.517411095214,7041.074479507577,11.66802029535458634576,1.00100886798549527878
16,4,4,64,decreasing0.75,model-model,3467.8144,3063.3798895003347,6899.058090241273,20.49549021890804254637,1.00000000000000000000
16,4,4,64,decreasing0.75,model-even,3467.5110,3042.787271746711,6899.058090241273,13.64805564531777728884,.99991250973523842567
16,4,4,64,decreasing0.75,even-model,3473.5675,9190.139668501004,9190.139668501004,20.08680790480188841817,1.00165899882069813194
16,4,4,64,decreasing0.75,even-even,3478.2214,9128.361815240134,9128.361815240134,17.53744823681207838810,1.00300102566042750154
16,4,4,64,ideal,model-model,190.5902,186.98945393374743,186.98945393374743,1.00000000000000000000,1.00000000000000000000
16,4,4,64,ideal,model-even,273.4252,269.53090579710147,269.53090579710147,1.00000000000000000000,1.43462360604060439623
16,4,4,64,ideal,even-model,181.9245,178.77574370709382,178.77574370709382,1.00000000000000000000,.95453228969800126134
16,4,4,64,ideal,even-even,205.2743,202.1481793478261,202.1481793478261,1.00000000000000000000,1.07704540947016163475
16,4,4,64,transit,model-model,4624.2385,4892.131707514995,4892.131707514995,24.26272966815712455309,1.00000000000000000000
16,4,4,64,transit,model-even,4623.1167,4807.040250313908,4807.040250313908,16.90815879443445593164,.99975740870631997030
16,4,4,64,transit,even-model,4631.3486,14676.395122544984,14676.395122544984,25.45753100874263774258,1.00153757207808377530
16,4,4,64,transit,even-even,4627.7396,14421.120750941722,14421.120750941722,22.54417430725619329843,1.00075711925325650915
16,4,4,64,increasing0.25,model-model,1157.8263,530.2541666666667,530.2541666666667,6.07495191253275352038,1.00000000000000000000
16,4,4,64,increasing0.25,model-even,1157.2747,631.7130604619566,631.7130604619566,4.23250929321803549928,.99952359002382308987
16,4,4,64,increasing0.25,even-model,1156.6783,620.5849914864633,620.5849914864633,6.35801280201402230045,.99900848685161150683
16,4,4,64,increasing0.25,even-even,1157.1972,624.1550522638313,624.1550522638313,5.63732137924718291573,.99945665424943275170
16,4,4,64,increasing0.5,model-model,2311.5501,943.2458167276025,943.2458167276025,12.12837858399854766929,1.00000000000000000000
16,4,4,64,increasing0.5,model-even,2311.4889,937.1280631044142,937.1280631044142,8.45382539722015381171,.99997352425975971708
16,4,4,64,increasing0.5,even-model,2312.2601,2829.7374501828076,2829.7374501828076,12.70999837844820241363,1.00030715319559805344
16,4,4,64,increasing0.5,even-even,2312.0766,2811.3841893132426,2811.3841893132426,11.26335152525182158701,1.00022776923589066920
16,4,4,64,increasing0.75,model-model,3467.3904,2583.9167590889765,2583.9167590889765,18.19291023357969087602,1.00000000000000000000
16,4,4,64,increasing0.75,model-even,3468.2975,2584.3145320095814,2584.3145320095814,12.68463001947150445533,1.00026160884566099046
16,4,4,64,increasing0.75,even-model,3471.8581,7428.760682380807,7428.760682380807,19.08406014582972606768,1.00128849061818940261
16,4,4,64,increasing0.75,even-even,3472.7133,7429.904279527547,7429.904279527547,16.91742853343063403455,1.00153513143486813599
16,4,4,64,decreasing0.25,model-model,1158.0574,578.3181710775049,7429.904279527547,6.07616446176141270642,1.00000000000000000000
16,4,4,64,decreasing0.25,model-even,1157.5498,687.604410535117,7429.904279527547,4.23351541847642426521,.99956167975784274596
16,4,4,64,decreasing0.25,even-model,1158.0393,1325.6257298387602,7429.904279527547,6.36549392742593768293,.99998437037749596867
16,4,4,64,decreasing0.25,even-even,1157.7296,1314.2618511266096,7429.904279527547,5.63991498205084611176,.99971693976481649355
